year,cumCapKw,cost_per_kw,cost_per_kw_lb,cost_per_kw_ub,learning,country,scenario
2027-01-01,2006776489.0795786,254.8636522905167,216.50829152045864,299.2571115396463,Global,Germany,Sustainable Development
2028-01-01,2326033740.2419753,242.8708105047163,204.03667981145333,288.35993160726116,Global,Germany,Sustainable Development
2029-01-01,2696081496.961131,231.44230283563482,192.22470062696297,277.86077262977835,Global,Germany,Sustainable Development
2030-01-01,3125000000.0000005,220.55157402631392,181.02252890376948,267.75224002559645,Global,Germany,Sustainable Development
2020-01-01,713970000,357.1379195256711,326.191578938663,390.1407638825093,National,Germany,Sustainable Development
2021-01-01,816765571.8885839,341.7937694864219,309.6623421042488,376.5018135207471,National,Germany,Sustainable Development
2022-01-01,923348049.4148395,328.3775688241665,295.0636436683117,364.527398968379,National,Germany,Sustainable Development
2023-01-01,1032255183.8672812,316.63946562382154,282.27138956699446,354.1389102321889,National,Germany,Sustainable Development
2024-01-01,1141458488.7816672,306.4127962420463,271.27566614223446,345.1687816138702,National,Germany,Sustainable Development
2025-01-01,1248219729.523342,297.5977099381694,261.75254412625424,337.4626653674441,National,Germany,Sustainable Development
2026-01-01,1348916064.5821087,290.1545493112311,253.61606358876,330.8819003813643,National,Germany,Sustainable Development
2027-01-01,1438827496.6537483,284.1059452007168,247.19318858427098,325.4434626618587,National,Germany,Sustainable Development
2028-01-01,1511879067.375292,279.54929272227935,242.37157682555784,321.26152879740613,National,Germany,Sustainable Development
2029-01-01,1560328776.4183428,276.68524511294487,239.31149911886874,318.69639581444375,National,Germany,Sustainable Development
2030-01-01,1574390481.6689594,275.87601523917425,238.4483901291769,317.9757484257377,National,Germany,Sustainable Development
